Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
FOCT,907,0,0.00,0,0.00,42.82,722,185
MOTI,906,0,0.00,0,0.00,30.26,906,0
IMFL,902,0,0.00,0,0.00,23.54,902,0
EAOK,901,1,25.64,1,21.97,25.57,901,0
NDEC,900,0,0.00,0,0.00,24.56,900,0
RYSE,867,0,0.00,0,0.00,24.65,867,0
FAPR,847,0,0.00,0,0.00,41.35,847,0
EWUS,844,0,0.00,0,0.00,34.54,844,0
ARKZ,834,0,0.00,0,0.00,37.37,834,0
IPDP,826,1,22.00,0,0.00,19.14,826,0
XEMD,806,0,0.00,0,0.00,41.75,806,0
ADFI,805,0,0.00,0,0.00,8.43,705,100
MGRO,803,0,0.00,0,0.00,30.73,803,0
PBFR,803,0,0.00,0,0.00,26.54,803,0
XBAP,800,0,0.00,0,0.00,34.12,800,0
AAPY,799,0,0.00,5,27.34,27.35,798,1
NAUG,797,0,0.00,0,0.00,25.84,797,0
CPSL,792,0,0.00,0,0.00,25.57,792,0
SHDG,779,0,0.00,0,0.00,29.23,779,0
BBLB,764,0,0.00,0,0.00,83.56,764,0
QCON,763,0,0.00,0,0.00,45.58,763,0
STOT,752,0,0.00,0,0.00,46.81,752,0
FJUN,751,0,0.00,0,0.00,51.61,751,0
VAMO,751,0,0.00,0,0.00,29.70,751,0
PSFO,750,0,0.00,0,0.00,28.89,750,0
GAPR,736,0,0.00,0,0.00,37.50,736,0
BUFG,732,0,0.00,0,0.00,24.50,732,0
FMAR,732,0,0.00,0,0.00,43.36,732,0
FLQS,711,0,0.00,0,0.00,41.40,711,0
DUBS,701,0,0.00,0,0.00,32.64,701,0
JUNM,700,0,0.00,0,0.00,31.79,700,0
UPSD,696,0,0.00,0,0.00,24.21,696,0
OBND,695,0,0.00,0,0.00,25.71,695,0
QJUN,688,0,0.00,0,0.00,28.18,688,0
